t_s,R91,R92,R93,R94,R95,R96,R97,R98,R83,R84,R85,R86,R87,R88,R89,R90,R75,R76,R77,R78,R80,R81,R82
11745,,-0.107070922851562,,-0.0873832702636719,,-0.087773323059082,-0.101133346557617,-0.0966014862060547,-0.154024124145508,-0.124258041381836,-0.127774238586426,-0.0989456176757812,-0.0719928741455078,-0.064335823059082,-0.111289024353027,-0.128242492675781,-0.136524200439453,-0.129805564880371,-0.15699291229248,-0.16480541229248,-0.100664138793945,-0.151758193969727,-0.136914253234863
11750,,-0.106992721557617,,-0.0873832702636719,,-0.087773323059082,-0.101133346557617,-0.0966014862060547,-0.154102325439453,-0.124258041381836,-0.127852439880371,-0.0990238189697266,-0.0719146728515625,-0.064335823059082,-0.111289024353027,-0.128242492675781,-0.136524200439453,-0.129805564880371,-0.157071113586426,-0.16480541229248,-0.100742340087891,-0.151758193969727,-0.136992454528809
11755,,-0.107070922851562,,-0.0873050689697266,,-0.0876960754394531,-0.101133346557617,-0.0966014862060547,-0.154102325439453,-0.124258041381836,-0.127852439880371,-0.0990238189697266,-0.0718364715576172,-0.0642576217651367,-0.111289024353027,-0.128242492675781,-0.136524200439453,-0.129805564880371,-0.157071113586426,-0.16480541229248,-0.100742340087891,-0.151836395263672,-0.136992454528809
11760,,-0.107070922851562,,-0.0872268676757812,,-0.0876960754394531,-0.101211547851562,-0.0966014862060547,-0.154102325439453,-0.124258041381836,-0.1279296875,-0.0991020202636719,-0.0718364715576172,-0.0641794204711914,-0.111289024353027,-0.128242492675781,-0.136524200439453,-0.129805564880371,-0.157071113586426,-0.16480541229248,-0.100820541381836,-0.151836395263672,-0.136992454528809
11765,,-0.107070922851562,,-0.0872268676757812,,-0.0876960754394531,-0.101211547851562,-0.0966014862060547,-0.154180526733398,-0.124258041381836,-0.1279296875,-0.0991020202636719,-0.0717582702636719,-0.0641794204711914,-0.111289024353027,-0.128320693969727,-0.136524200439453,-0.129805564880371,-0.157071113586426,-0.16480541229248,-0.100898742675781,-0.151836395263672,-0.136992454528809
11770,,-0.107070922851562,,-0.0871486663818359,,-0.0876960754394531,-0.101211547851562,-0.0966796875,-0.154180526733398,-0.124258041381836,-0.128007888793945,-0.0991802215576172,-0.0716800689697266,-0.0641021728515625,-0.111289024353027,-0.128320693969727,-0.136602401733398,-0.1298828125,-0.157071113586426,-0.16480541229248,-0.100898742675781,-0.151914596557617,-0.137070655822754
11775,,-0.107070922851562,,-0.0871486663818359,,-0.0876960754394531,-0.101289749145508,-0.0966796875,-0.154180526733398,-0.124258041381836,-0.128007888793945,-0.0991802215576172,-0.0716018676757812,-0.0641021728515625,-0.111289024353027,-0.128320693969727,-0.136602401733398,-0.1298828125,-0.157071113586426,-0.16480541229248,-0.100976943969727,-0.151914596557617,-0.137070655822754
11780,,-0.107070922851562,,-0.0870704650878906,,-0.0876178741455078,-0.101289749145508,-0.0966796875,-0.154258728027344,-0.124258041381836,-0.128007888793945,-0.0992584228515625,-0.0716018676757812,-0.0640239715576172,-0.111289024353027,-0.128320693969727,-0.136602401733398,-0.1298828125,-0.157149314880371,-0.16480541229248,-0.101055145263672,-0.151914596557617,-0.137070655822754
11785,,-0.107070922851562,,-0.0869922637939453,,-0.0876178741455078,-0.101289749145508,-0.0966796875,-0.154258728027344,-0.124179840087891,-0.128086090087891,-0.0992584228515625,-0.0715236663818359,-0.0639457702636719,-0.111289024353027,-0.128398895263672,-0.136602401733398,-0.1298828125,-0.157149314880371,-0.16480541229248,-0.101055145263672,-0.151992797851562,-0.137148857116699
11790,,-0.107070922851562,,-0.0869922637939453,,-0.0876178741455078,-0.101367950439453,-0.0967578887939453,-0.154258728027344,-0.124179840087891,-0.128086090087891,-0.0993366241455078,-0.0714454650878906,-0.0639457702636719,-0.111367225646973,-0.128398895263672,-0.136602401733398,-0.1298828125,-0.157149314880371,-0.16480541229248,-0.101133346557617,-0.151992797851562,-0.137148857116699
11795,,-0.107070922851562,,-0.0869140625,,-0.0876178741455078,-0.101367950439453,-0.0967578887939453,-0.154336929321289,-0.124179840087891,-0.128164291381836,-0.0993366241455078,-0.0714454650878906,-0.0638675689697266,-0.111367225646973,-0.128398895263672,-0.136602401733398,-0.1298828125,-0.157149314880371,-0.16480541229248,-0.101133346557617,-0.151992797851562,-0.137148857116699
11800,,-0.107149124145508,,-0.0868358612060547,,-0.0875396728515625,-0.101367950439453,-0.0967578887939453,-0.154336929321289,-0.124179840087891,-0.128164291381836,-0.0994148254394531,-0.0713672637939453,-0.0637893676757812,-0.111367225646973,-0.128398895263672,-0.136680603027344,-0.1298828125,-0.157149314880371,-0.16480541229248,-0.101211547851562,-0.151992797851562,-0.137148857116699
11805,,-0.107149124145508,,-0.0868358612060547,,-0.0875396728515625,-0.101367950439453,-0.0967578887939453,-0.154336929321289,-0.124179840087891,-0.128164291381836,-0.0994148254394531,-0.0712890625,-0.0637893676757812,-0.111367225646973,-0.128398895263672,-0.136680603027344,-0.1298828125,-0.157149314880371,-0.16480541229248,-0.101289749145508,-0.152070999145508,-0.137148857116699
11810,,-0.107149124145508,,-0.0867576599121094,,-0.0875396728515625,-0.101445198059082,-0.0968360900878906,-0.154414176940918,-0.124179840087891,-0.128242492675781,-0.099492073059082,-0.0712890625,-0.0637111663818359,-0.111367225646973,-0.128477096557617,-0.136680603027344,-0.1298828125,-0.157149314880371,-0.16480541229248,-0.101289749145508,-0.152070999145508,-0.137227058410645
11815,,-0.107149124145508,,-0.0866804122924805,,-0.0875396728515625,-0.101445198059082,-0.0968360900878906,-0.154414176940918,-0.124179840087891,-0.128242492675781,-0.099492073059082,-0.0712108612060547,-0.0637111663818359,-0.111367225646973,-0.128477096557617,-0.136680603027344,-0.1298828125,-0.157227516174316,-0.16480541229248,-0.101367950439453,-0.152070999145508,-0.137227058410645
11820,,-0.107149124145508,,-0.0866804122924805,,-0.0875396728515625,-0.101445198059082,-0.0968360900878906,-0.154414176940918,-0.124179840087891,-0.128320693969727,-0.0995702743530273,-0.0711326599121094,-0.0636329650878906,-0.111367225646973,-0.128477096557617,-0.136680603027344,-0.1298828125,-0.157227516174316,-0.16480541229248,-0.101445198059082,-0.152070999145508,-0.137227058410645
11825,,-0.107149124145508,,-0.0866022109985352,,-0.0874614715576172,-0.101523399353027,-0.0968360900878906,-0.154414176940918,-0.124179840087891,-0.128320693969727,-0.0995702743530273,-0.0710544586181641,-0.0635547637939453,-0.111367225646973,-0.128477096557617,-0.136680603027344,-0.1298828125,-0.157227516174316,-0.16480541229248,-0.101445198059082,-0.152149200439453,-0.137227058410645
11830,,-0.107149124145508,,-0.0865240097045898,,-0.0874614715576172,-0.101523399353027,-0.0969142913818359,-0.154492378234863,-0.124179840087891,-0.128320693969727,-0.0996484756469727,-0.0710544586181641,-0.0635547637939453,-0.111367225646973,-0.128555297851562,-0.136680603027344,-0.129961013793945,-0.157227516174316,-0.16480541229248,-0.101523399353027,-0.152149200439453,-0.13730525970459
11835,,-0.107149124145508,,-0.0865240097045898,,-0.0874614715576172,-0.101523399353027,-0.0969142913818359,-0.154492378234863,-0.124179840087891,-0.128398895263672,-0.0996484756469727,-0.0709772109985352,-0.0634765625,-0.111367225646973,-0.128555297851562,-0.136757850646973,-0.129961013793945,-0.157227516174316,-0.16480541229248,-0.101523399353027,-0.152149200439453,-0.13730525970459
11840,,-0.107149124145508,,-0.0864458084106445,,-0.0874614715576172,-0.101523399353027,-0.0969142913818359,-0.154492378234863,-0.124179840087891,-0.128398895263672,-0.099726676940918,-0.0708990097045898,-0.0634765625,-0.111367225646973,-0.128555297851562,-0.136757850646973,-0.129961013793945,-0.157227516174316,-0.16480541229248,-0.101601600646973,-0.152227401733398,-0.13730525970459
11845,,-0.107227325439453,,-0.0864458084106445,,-0.0874614715576172,-0.101601600646973,-0.0969924926757812,-0.154492378234863,-0.124101638793945,-0.128398895263672,-0.099726676940918,-0.0708990097045898,-0.0633983612060547,-0.111367225646973,-0.128555297851562,-0.136757850646973,-0.129961013793945,-0.157227516174316,-0.16480541229248,-0.101601600646973,-0.152227401733398,-0.13730525970459
